frug;plant;n_visits;obs_time;visit_rate;n_fruits;fruit_visit;QTY;frug_family;body_mass;gape_size;plant_family;FRDIAM;FRLENG;FRFM;PFM;SFM;PDM;SDM;SEEDS;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC;TOTALC;TOTALSUG
Thraupis sayaca;Myrciaria trunciflora;54;60;0.9;94;1.74;1.567;Thraupidae;32.5;8.9;Myrtaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Myrciaria trunciflora;2;60;0.033;3;1.5;0.05;Turdidae;54;11.1;Myrtaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Myrciaria trunciflora;1;60;0.017;1;1;0.017;Turdidae;69.5;13.3;Myrtaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ramphastos dicolorus;Myrsine coriacea;2;21;0.095;23;11.5;1.095;Ramphastidae;331;30.7;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Tangara cayana;Myrsine coriacea;1;15;0.067;NA;2;0.133;Thraupidae;18;7.4;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Tangara cyanocephala;Myrsine coriacea;23;22.5;1.022;NA;3.71;3.791;Thraupidae;18;5.2;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Tangara cyanocephala;Myrsine coriacea;10;21;0.476;35;3.5;1.667;Thraupidae;18;5.2;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Tangara seledon;Myrsine coriacea;3;21;0.143;14;4.67;0.667;Thraupidae;18.7;6.1;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Tangara seledon;Myrsine coriacea;3;21;0.143;14;4.67;0.667;Thraupidae;18.7;6.1;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis palmarum;Myrsine coriacea;1;15;0.133;NA;2;0.267;Thraupidae;39;8.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis palmarum;Myrsine coriacea;1;21;0.048;1;1;0.048;Thraupidae;39;8.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis sayaca;Myrsine coriacea;33;38.6;0.855;161;5;4.275;Thraupidae;32.5;8.9;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis sayaca;Myrsine coriacea;7;21;0.333;22;3.14;1.048;Thraupidae;32.5;8.9;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis sayaca;Myrsine coriacea;2;48;0.042;NA;9;0.375;Thraupidae;32.5;8.9;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis sayaca;Myrsine coriacea;2;22.5;0.089;NA;3.16;0.281;Thraupidae;32.5;8.9;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis sayaca;Myrsine coriacea;1;15;0.067;NA;1;0.067;Thraupidae;32.5;8.9;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Thraupis sayaca;Myrsine coriacea;1;84;0.012;1;1;0.012;Thraupidae;32.5;8.9;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Tityra cayana;Myrsine coriacea;3;38.6;0.078;28;9;0.699;Cotingidae;68.1;16.6;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus albicollis;Myrsine coriacea;6;21;0.286;90;15;4.286;Turdidae;54;11.1;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus albicollis;Myrsine coriacea;7;NA;0.11;166;23.71;2.609;Turdidae;54;11.1;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus albicollis;Myrsine coriacea;2;22.5;0.089;NA;14.3;1.271;Turdidae;54;11.1;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus albicollis;Myrsine coriacea;2;48;0.042;NA;8;0.333;Turdidae;54;11.1;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus albicollis;Myrsine coriacea;2;84;0.024;21;10.5;0.25;Turdidae;54;11.1;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus rufiventris;Myrsine coriacea;22;38.6;0.57;682;31;17.668;Turdidae;69.5;13.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus rufiventris;Myrsine coriacea;16;21;0.762;368;23;17.524;Turdidae;69.5;13.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus rufiventris;Myrsine coriacea;13;48;0.271;NA;36.8;9.967;Turdidae;69.5;13.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus rufiventris;Myrsine coriacea;4;22.5;0.178;NA;23.79;4.229;Turdidae;69.5;13.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus rufiventris;Myrsine coriacea;5;NA;0.382;47;9.4;3.593;Turdidae;69.5;13.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Turdus rufiventris;Myrsine coriacea;11;84;0.131;206;18.73;2.452;Turdidae;69.5;13.3;Primulaceae;3.52;3.77;0.025;NA;0.013;0.013;0.012;1;NA;0.508;NA;0.012;0.042;NA;NA;0.054
Tangara cayana;Myrsine gardneriana;1;254;0.004;NA;3.71;0.015;Thraupidae;18;7.4;Primulaceae;4.21;4.33;0.065;NA;0.043;0.022;0.043;1;NA;0.119;0.09;0.031;0.118;NA;NA;0.149
Thraupis palmarum;Myrsine gardneriana;11;254;0.043;NA;3.16;0.137;Thraupidae;39;8.3;Primulaceae;4.21;4.33;0.065;NA;0.043;0.022;0.043;1;NA;0.119;0.09;0.031;0.118;NA;NA;0.149
Thraupis sayaca;Myrsine gardneriana;4;254;0.016;NA;3.16;0.05;Thraupidae;32.5;8.9;Primulaceae;4.21;4.33;0.065;NA;0.043;0.022;0.043;1;NA;0.119;0.09;0.031;0.118;NA;NA;0.149
Euphonia pectoralis;Myrsine umbellata;1;20.8;0.048;NA;NA;NA;Fringillidae;14.4;7.7;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Euphonia violacea;Myrsine umbellata;1;139.7;0.001;NA;NA;NA;Fringillidae;15;6.9;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Tangara cayana;Myrsine umbellata;1;139.7;0.007;NA;3.71;0.027;Thraupidae;18;7.4;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Tangara cyanocephala;Myrsine umbellata;9;20.8;0.433;NA;3.71;1.605;Thraupidae;18;5.2;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Thraupis sayaca;Myrsine umbellata;1;20.8;0.048;NA;3.16;0.152;Thraupidae;32.5;8.9;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Thraupis sayaca;Myrsine umbellata;33;139.7;0.024;NA;3.16;0.075;Thraupidae;32.5;8.9;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Turdus albicollis;Myrsine umbellata;26;20.8;1.25;NA;19.04;23.806;Turdidae;54;11.1;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Turdus rufiventris;Myrsine umbellata;3;20.8;0.144;NA;19.04;2.747;Turdidae;69.5;13.3;Primulaceae;5.26;5.23;0.161;0.1;0.085;0.008;0.023;1;0.86;0.08;0.029;0.001;NA;NA;NA;0.001
Penelope obscura;Nectandra lanceolata;2;250;0.008;NA;NA;NA;Cracidae;1770;22.3;Lauraceae;18;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Nectandra lanceolata;2;250;0.008;NA;2.85;0.023;Turdidae;54;11.1;Lauraceae;18;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Nectandra lanceolata;3;250;0.012;NA;2.85;0.034;Turdidae;69.5;13.3;Lauraceae;18;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Nectandra megapotamica;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Lauraceae;7.82;11.41;0.33;NA;0.15;NA;NA;1;0.56;0.589;0.11;NA;NA;NA;NA;NA
Penelope obscura;Nectandra megapotamica;5;70;0.071;NA;NA;NA;Cracidae;1770;22.3;Lauraceae;7.82;11.41;0.33;NA;0.15;NA;NA;1;0.56;0.589;0.11;NA;NA;NA;NA;NA
Tityra cayana;Nectandra megapotamica;3;70;0.043;NA;2;0.086;Cotingidae;68.1;16.6;Lauraceae;7.82;11.41;0.33;NA;0.15;NA;NA;1;0.56;0.589;0.11;NA;NA;NA;NA;NA
Trogon surrucura;Nectandra megapotamica;4;70;0.057;NA;2;0.114;Trogonidae;73.3;17.5;Lauraceae;7.82;11.41;0.33;NA;0.15;NA;NA;1;0.56;0.589;0.11;NA;NA;NA;NA;NA
Turdus albicollis;Nectandra megapotamica;216;70;3.086;NA;2.7;8.331;Turdidae;54;11.1;Lauraceae;7.82;11.41;0.33;NA;0.15;NA;NA;1;0.56;0.589;0.11;NA;NA;NA;NA;NA
Turdus rufiventris;Nectandra megapotamica;98;70;1.4;NA;3;4.2;Turdidae;69.5;13.3;Lauraceae;7.82;11.41;0.33;NA;0.15;NA;NA;1;0.56;0.589;0.11;NA;NA;NA;NA;NA
Turdus rufiventris;Ocotea pulchella;16;72;0.222;NA;8.6;1.911;Turdidae;69.5;13.3;Lauraceae;6.08;8.97;0.17;0.08;0.11;0.074;0.1;1;0.66;0.606;0.052;0.002;NA;NA;NA;0.002
Ramphastos vitellinus;Paullinia carpopoda;6;32;0.188;16;4;0.75;Ramphastidae;343.5;30.1;Sapindaceae;14.1;12.8;1.6;NA;NA;NA;NA;1.1;0.62;0.01;NA;NA;NA;NA;NA;NA
Turdus albicollis;Paullinia carpopoda;4;32;0.125;2;1;0.125;Turdidae;54;11.1;Sapindaceae;14.1;12.8;1.6;NA;NA;NA;NA;1.1;0.62;0.01;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Paullinia carpopoda;52;32;1.625;35;1.5;2.438;Turdidae;69.5;13.3;Sapindaceae;14.1;12.8;1.6;NA;NA;NA;NA;1.1;0.62;0.01;NA;NA;NA;NA;NA;NA
Tangara cayana;Paullinia micrantha;7;254;0.028;NA;NA;NA;Thraupidae;18;7.4;Sapindaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Paullinia micrantha;1;254;0.004;NA;1.25;0.005;Thraupidae;39;8.3;Sapindaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Paullinia micrantha;4;254;0.016;NA;1.25;0.02;Thraupidae;32.5;8.9;Sapindaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Pera glabrata;3;254;0.012;NA;NA;NA;Thraupidae;18;7.4;Peraceae;3.43;5.92;0.026;NA;0.024;NA;NA;2.9;NA;0.747;0.166;0.03;NA;NA;NA;0.03
Tangara seledon;Pera glabrata;1;254;0.004;NA;NA;NA;Thraupidae;18.7;6.1;Peraceae;3.43;5.92;0.026;NA;0.024;NA;NA;2.9;NA;0.747;0.166;0.03;NA;NA;NA;0.03
Thraupis palmarum;Pera glabrata;1;254;0.004;NA;NA;NA;Thraupidae;39;8.3;Peraceae;3.43;5.92;0.026;NA;0.024;NA;NA;2.9;NA;0.747;0.166;0.03;NA;NA;NA;0.03
Thraupis palmarum;Phoebe pickelli;1;2;0.5;NA;NA;NA;Thraupidae;39;8.3;Lauraceae;12;NA;1.38;NA;NA;0.221;0.221;1;NA;0.28;0.012;NA;NA;0.09;NA;NA
Thraupis sayaca;Phoebe pickelli;1;2;0.5;NA;NA;NA;Thraupidae;32.5;8.9;Lauraceae;12;NA;1.38;NA;NA;0.221;0.221;1;NA;0.28;0.012;NA;NA;0.09;NA;NA
Turdus rufiventris;Phoebe pickelli;6;2;3;NA;4;12;Turdidae;69.5;13.3;Lauraceae;12;NA;1.38;NA;NA;0.221;0.221;1;NA;0.28;0.012;NA;NA;0.09;NA;NA
Euphonia chlorotica;Phoradendron affine;73;40;1.825;NA;19.9;36.318;Fringillidae;11;6.1;Santalaceae;3.3;4.2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia chlorotica;Phoradendron affine;67;40;1.675;NA;21.3;35.678;Fringillidae;11;6.1;Santalaceae;3.3;4.2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia violacea;Phoradendron crassifolium;2;32;0.063;122;61;3.813;Fringillidae;15;6.9;Santalaceae;3.97;4.77;0.04;NA;NA;NA;NA;1;0.92;NA;NA;NA;NA;NA;NA;NA
Euphonia chlorotica;Phoradendron piperoides;2;14.2;0.141;NA;34.07;4.798;Fringillidae;11;6.1;Santalaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia violacea;Phoradendron piperoides;1;14.2;0.07;NA;34.07;2.399;Fringillidae;15;6.9;Santalaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Phytolacca dioica;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Phytolaccaceae;8.19;10.95;0.262;NA;0.006;0.194;0.031;8.7;0.66;0.048;0.118;0.09;0.39;NA;0.726;0.481
Euphonia violacea;Piper tectoniifolium;2;32;0.063;0;0.1;0.006;Fringillidae;15;6.9;Piperaceae;8.1;188.5;9.56;NA;NA;NA;NA;938;0.9;0.022;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Piper tectoniifolium;17;32;0.531;6;0.4;0.213;Thraupidae;39;8.3;Piperaceae;8.1;188.5;9.56;NA;NA;NA;NA;938;0.9;0.022;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Piper tectoniifolium;12;32;0.375;4;0.4;0.15;Thraupidae;32.5;8.9;Piperaceae;8.1;188.5;9.56;NA;NA;NA;NA;938;0.9;0.022;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Piper tectoniifolium;27;32;0.844;12;0.5;0.422;Turdidae;69.5;13.3;Piperaceae;8.1;188.5;9.56;NA;NA;NA;NA;938;0.9;0.022;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Plinia cauliflora;28;12;2.333;38;1.7;3.967;Thraupidae;32.5;8.9;Myrtaceae;19;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia chlorotica;Protium heptaphyllum;38;32;1.188;70;2.5;2.969;Fringillidae;11;6.1;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Euphonia chlorotica;Protium heptaphyllum;2;19.9;0.101;NA;2.5;0.251;Fringillidae;11;6.1;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Euphonia violacea;Protium heptaphyllum;33;19.9;0.829;NA;2.5;2.073;Fringillidae;15;6.9;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Euphonia violacea;Protium heptaphyllum;8;32;0.25;15;2.5;0.625;Fringillidae;15;6.9;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Procnias nudicollis;Protium heptaphyllum;17;19.9;0.427;NA;NA;NA;Cotingidae;200;23.6;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Ramphastos vitellinus;Protium heptaphyllum;1;32;0.031;5;5;0.156;Ramphastidae;343.5;30.1;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Tangara cayana;Protium heptaphyllum;1;19.9;0.05;NA;3.35;0.168;Thraupidae;18;7.4;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Thraupis palmarum;Protium heptaphyllum;48;19.9;1.206;NA;3.35;4.04;Thraupidae;39;8.3;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Thraupis palmarum;Protium heptaphyllum;12;32;0.375;30;3;1.125;Thraupidae;39;8.3;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Thraupis sayaca;Protium heptaphyllum;14;32;0.438;44;3.7;1.619;Thraupidae;32.5;8.9;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Thraupis sayaca;Protium heptaphyllum;10;19.9;0.251;NA;3.35;0.842;Thraupidae;32.5;8.9;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Turdus albicollis;Protium heptaphyllum;1;32;0.031;1;1;0.031;Turdidae;54;11.1;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Turdus rufiventris;Protium heptaphyllum;11;32;0.344;8;1.3;0.447;Turdidae;69.5;13.3;Burseraceae;12.7;20.35;1.957;2.74;0.265;0.918;0.317;1.1;0.8;0.099;0.064;0.014;NA;NA;NA;0.014
Turdus rufiventris;Prunus myrtifolia;14;2;7;NA;6;42;Turdidae;69.5;13.3;Rosaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia chlorotica;Psidium guajava;3;47;0.064;NA;NA;NA;Fringillidae;11;6.1;Myrtaceae;58.67;67.13;60.098;NA;0.209;94.885;31.156;170.2;0.84;0.019;0.04;0.182;0.209;0.622;NA;0.391
Thraupis palmarum;Psidium guajava;3;47;0.064;NA;NA;NA;Thraupidae;39;8.3;Myrtaceae;58.67;67.13;60.098;NA;0.209;94.885;31.156;170.2;0.84;0.019;0.04;0.182;0.209;0.622;NA;0.391
Thraupis sayaca;Psidium guajava;35;47;0.745;NA;NA;NA;Thraupidae;32.5;8.9;Myrtaceae;58.67;67.13;60.098;NA;0.209;94.885;31.156;170.2;0.84;0.019;0.04;0.182;0.209;0.622;NA;0.391
Aburria jacutinga;Quiina glazovii;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Quiinaceae;15.96;20.86;3.195;1.45;1.9;0.23;1.53;1.5;0.86;0.099;0.062;0;NA;NA;0.695;0
Penelope obscura;Quiina glazovii;1;NA;NA;NA;NA;NA;Cracidae;1770;22.3;Quiinaceae;15.96;20.86;3.195;1.45;1.9;0.23;1.53;1.5;0.86;0.099;0.062;0;NA;NA;0.695;0
Thraupis sayaca;Richeria grandis;11;32;0.733;79;7.2;5.28;Thraupidae;32.5;8.9;Phyllanthaceae;7.3;11.3;0.27;NA;NA;NA;NA;1.1;0.73;0.27;0.022;NA;NA;NA;NA;NA
Ramphastos vitellinus;Schefflera morototoni;1;32;0.031;15;15;0.469;Ramphastidae;343.5;30.1;Araliaceae;6.9;7.9;0.505;NA;0.045;0.116;0.014;1.6;0.78;0.179;0.119;NA;NA;0.546;NA;NA
Thraupis palmarum;Schefflera morototoni;9;32;0.281;16;2.3;0.647;Thraupidae;39;8.3;Araliaceae;6.9;7.9;0.505;NA;0.045;0.116;0.014;1.6;0.78;0.179;0.119;NA;NA;0.546;NA;NA
Thraupis palmarum;Schefflera morototoni;66;254;0.26;NA;2.2;0.572;Thraupidae;39;8.3;Araliaceae;6.9;7.9;0.505;NA;0.045;0.116;0.014;1.6;0.78;0.179;0.119;NA;NA;0.546;NA;NA
Thraupis sayaca;Schefflera morototoni;12;32;0.375;21;2.1;0.788;Thraupidae;32.5;8.9;Araliaceae;6.9;7.9;0.505;NA;0.045;0.116;0.014;1.6;0.78;0.179;0.119;NA;NA;0.546;NA;NA
Turdus albicollis;Schefflera morototoni;11;32;0.344;29;2.6;0.894;Turdidae;54;11.1;Araliaceae;6.9;7.9;0.505;NA;0.045;0.116;0.014;1.6;0.78;0.179;0.119;NA;NA;0.546;NA;NA
Turdus rufiventris;Schefflera morototoni;2;32;0.063;1;1;0.063;Turdidae;69.5;13.3;Araliaceae;6.9;7.9;0.505;NA;0.045;0.116;0.014;1.6;0.78;0.179;0.119;NA;NA;0.546;NA;NA
Turdus rufiventris;Schefflera morototoni;1;254;0.004;NA;1.8;0.007;Turdidae;69.5;13.3;Araliaceae;6.9;7.9;0.505;NA;0.045;0.116;0.014;1.6;0.78;0.179;0.119;NA;NA;0.546;NA;NA
Euphonia violacea;Schinus terebinthifolius;1;17.4;0.029;NA;NA;NA;Fringillidae;15;6.9;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Tangara cayana;Schinus terebinthifolius;6;5;1.2;NA;4.5;5.4;Thraupidae;18;7.4;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Tangara cayana;Schinus terebinthifolius;1;20;0.05;2;2;0.1;Thraupidae;18;7.4;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Tangara cyanocephala;Schinus terebinthifolius;1;10;0.1;NA;2.75;0.275;Thraupidae;18;5.2;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Thraupis palmarum;Schinus terebinthifolius;3;10;0.3;NA;7.29;2.186;Thraupidae;39;8.3;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Thraupis sayaca;Schinus terebinthifolius;21;5;4.2;NA;4.5;18.9;Thraupidae;32.5;8.9;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Thraupis sayaca;Schinus terebinthifolius;71;102;0.696;NA;13.69;9.529;Thraupidae;32.5;8.9;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Thraupis sayaca;Schinus terebinthifolius;5;10;0.5;NA;7.29;3.643;Thraupidae;32.5;8.9;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Thraupis sayaca;Schinus terebinthifolius;6;10;0.6;22;3.67;2.2;Thraupidae;32.5;8.9;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Turdus albicollis;Schinus terebinthifolius;3;10;0.3;NA;10.75;3.225;Turdidae;54;11.1;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Turdus rufiventris;Schinus terebinthifolius;21;102;0.206;NA;16.5;3.397;Turdidae;69.5;13.3;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Turdus rufiventris;Schinus terebinthifolius;2;10;0.2;NA;10.75;2.15;Turdidae;69.5;13.3;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Turdus rufiventris;Schinus terebinthifolius;1;5;0.2;NA;10.75;2.15;Turdidae;69.5;13.3;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Turdus rufiventris;Schinus terebinthifolius;1;10;0.1;5;5;0.5;Turdidae;69.5;13.3;Anacardiaceae;5.17;5.1;0.028;0.01;0.013;0.007;0.012;1;0.66;0.055;0.069;0.009;NA;NA;NA;0.009
Thraupis sayaca;Senna macranthera;2;250;0.008;NA;NA;NA;Thraupidae;32.5;8.9;Fabaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia pectoralis;Sloanea guianensis;4;28;0.143;11;2.75;0.393;Fringillidae;14.4;7.7;Elaeocarpaceae;7;12;0.3;NA;0.2;NA;NA;1;0.91;0.025;0.069;NA;NA;NA;0.877;NA
Selenidera maculirostris;Sloanea guianensis;7;28;0.25;10;1.43;0.357;Ramphastidae;164;25;Elaeocarpaceae;7;12;0.3;NA;0.2;NA;NA;1;0.91;0.025;0.069;NA;NA;NA;0.877;NA
Tangara cayana;Sloanea guianensis;2;28;0.071;2;1;0.071;Thraupidae;18;7.4;Elaeocarpaceae;7;12;0.3;NA;0.2;NA;NA;1;0.91;0.025;0.069;NA;NA;NA;0.877;NA
Tangara cyanocephala;Sloanea guianensis;2;28;0.071;8;4;0.286;Thraupidae;18;5.2;Elaeocarpaceae;7;12;0.3;NA;0.2;NA;NA;1;0.91;0.025;0.069;NA;NA;NA;0.877;NA
